appid,name,genres,tags,release_date,is_free,short_description
615670,SOLITUNE,Adventure|Casual|Indie,Adventure|Indie|Casual|Surreal|Great Soundtrack|Singleplayer|Minimalist|Atmospheric|3D|Short,"Apr 25, 2017",False,SOLITUNE is a very short game about escapism. You become a shepherd and collect your flock on the way out of your old life. Solve a puzzle in every room to earn a sheep to find your way out.
3871170,Perfect Diamond,Indie,Puzzle|Retro|Strategy|Singleplayer|Local Multiplayer|Pixel Graphics|Score Attack|Isometric|Arcade|Casual|PvP|Indie|Logic|2D|Colorful|Family Friendly|Controller|Tutorial,"Aug 8, 2025",False,"Perfect Diamond is a fast-paced puzzle game made for the NES. ROM included! Slide puzzle blocks into the grid to fill lines. Try to survive as the pieces move faster and faster. 3 single-player modes, local multiplayer battle, battle vs CPU."
2176200,Now you are the persecuted,Action|Adventure|Casual|Indie|RPG|Free To Play,Perma Death|RPG|PvE|2D|Top-Down|Adventure|Indie|Underground|1980s|Singleplayer|Action|Casual|Free to Play|Action-Adventure|Dungeon Crawler|Pixel Graphics|Funny|Stealth|Great Soundtrack,"Dec 25, 2022",True,"No weapons. No loot. No mercy. Just you, a half-loaded dungeon, and endless monsters. Every door makes things worse—so run like hell, or get swallowed by the monsters."
26800,Braid,Casual|Indie|Strategy,Puzzle Platformer|Puzzle|2D Platformer|Platformer|Indie|Time Manipulation|2D|Singleplayer|Great Soundtrack|Difficult|Time Travel|Casual|Atmospheric|Classic|Story Rich|Side Scroller|Strategy|Beautiful|Adventure|Short,"Apr 10, 2009",False,"This is the original version of Braid from 2009, which may not work well on newer systems. For an updated version of the game with nicer graphics, more levels and a large amount of developer commentary, see Braid, Anniversary Edition."
3201350,Summer Suki - Chat Messaging Game,Casual|Indie|Simulation,,"Oct 21, 2024",False,"Spend your summer with Suki! Exchange text messages, complete missions, unlock poses, and fully undress her. 18 kawaii poses to unlock, and all clothing can be removed. Try out the free demo."
1950770,Tales of Fire,Adventure|Casual|Indie,2D Platformer|Hand-drawn|Puzzle|Nature|Cute|Story Rich|Resource Management|Platformer|Surreal|Relaxing|Adventure|Casual|Stylized|2D|Colorful|Family Friendly|Fantasy|Atmospheric|Singleplayer|Indie,"Jun 17, 2022",False,"Tales of Fire is a short story-driven game, embark on an adventure to bring fire to your ant village or else they all die to the cold winter breeze. Platform your way through mushrooms, escape from evil spiders and make friends along the way. Can you save them?"
3938640,Ugoku Sushi Bar,Casual|Indie|Simulation|Strategy,Casual|Cooking|Simulation|Job Simulator|Anime|Cozy|Strategy|Cute|Management|Ambient|Relaxing|Wholesome|Minigames|Immersive Sim|Indie|Inventory Management|2D|Family Friendly|Point & Click|Cartoony,2026,False,"Become a sushi chef in a cozy Japanese conveyor belt sushi bar! 🍣 Prepare and plate a variety of Japanese cuisine orders, serve quirky customers, learn new recipes, unlock fresh ingredients, upgrade your kitchen, and build relationships with your regular customers."
2933360,Vacation,Action|Adventure|Casual|Indie,Zombies|Action|FPS|Shooter|Adventure|First-Person|Action-Adventure|Atmospheric|Dynamic Narration|Stylized|Relaxing|3D|Realistic|Casual|Singleplayer|Modern|Survival|Boomer Shooter|Horror|Survival Horror,"Dec 6, 2024",False,"Welcome to the island of innominis! On the island you can take part in an extreme hunt. But even in such a place, unforeseen circumstances can arise. It is with them you will have to face. Grab your weapons and go into the bowels of the island."
2941680,GUN KING Playtest,,1980s|1990's|Old School|Retro|Arcade|Arena Shooter|Twin Stick Shooter|Top-Down Shooter|Top-Down|Combat|Shoot 'Em Up|Shooter|Action|2D|Pixel Graphics|Family Friendly|Early Access|Cute|Singleplayer|Casual,"Apr 26, 2024",False,
2114320,Paradise Puzzle!,Action|Casual|Free To Play,,"Sep 9, 2022",True,"Move the gems in the stage and line up three or more to make them disappear! If you line up 3 or more gems, you can reduce the HP of the enemy. You will win the battle when you reduce the enemy's HP to 0."
3380730,Dominated By: Sadistic Delinquent,Indie,,"Jan 3, 2025",False,"After being bullied at an elitist university, the only other outcast, a violent, sadistic delinquent with thick thighs and a femdom fetish makes you her slave"
3556740,A Night Filled With the Sound of Rain,RPG|Simulation,RPG|Simulation|Anime|Cute|Singleplayer|Sexual Content|Hentai|Nudity|Mature|Pixel Graphics|NSFW|Visual Novel,"May 2, 2025",False,"A rainy night brings you to a small bar. When you step inside, you're met with soothing music. Your eyes land on a beautiful woman by the counter. Get to know Michiru and share your story with her. This unforgettable evening will be etched into your memory forever."
3521330,"Smile, you're being filmed together",Indie|Early Access,Adventure|Puzzle|Hidden Object|Realistic|Atmospheric|Horror|Psychological Horror|Mystery|Dark|Indie|Early Access|Survival|PvE|Online Co-Op|Singleplayer,"Mar 12, 2025",False,"Dive into an intense psychological horror experience with Smile, You’re Being Filmed: Together, the multiplayer version of the game where observation and cooperation are your greatest assets."
1003320,Nya Nya Nya Girls 2 (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),Casual|Indie,,"Jan 12, 2019",False,The game is a classic puzzle with three levels of difficulty.
848200,Azuran Tales: Trials,Action|Adventure|Indie|RPG,Action|RPG|Indie|Adventure|Platformer|Hack and Slash|Dark Fantasy|Swordplay|2.5D|Exploration|2D|Crafting|Great Soundtrack|Gothic,"Jun 1, 2018",False,"Azuran Tales: Trials offers challenging combat, beautiful levels and merciless enemies to overcome. Journey across the World of Azuran as you discover its many environments, lore and history in a game that blends platformers with RPG elements."
